期号,开奖日期,前区,后区,销售额
25073,2025-06-30,"['01', '04', '17', '33', '34']","['03', '09']",306793454.0
25072,2025-06-28,"['04', '07', '15', '24', '29']","['01', '04']",337329044.0
25071,2025-06-25,"['01', '08', '25', '31', '33']","['05', '11']",313848778.0
25070,2025-06-23,"['08', '09', '15', '20', '22']","['04', '12']",312961169.0
25069,2025-06-21,"['04', '06', '07', '33', '34']","['09', '10']",338663590.0
25068,2025-06-18,"['01', '04', '17', '20', '22']","['04', '10']",318966997.0
25067,2025-06-16,"['06', '10', '12', '21', '22']","['01', '06']",321766533.0
25066,2025-06-14,"['15', '18', '27', '28', '34']","['03', '06']",339059066.0
25065,2025-06-11,"['07', '25', '32', '33', '35']","['04', '09']",322427160.0
25064,2025-06-09,"['05', '10', '18', '20', '34']","['01', '08']",328463659.0
25063,2025-06-07,"['05', '18', '26', '29', '32']","['07', '10']",353640087.0
25062,2025-06-04,"['14', '20', '27', '28', '29']","['06', '10']",331453922.0
25061,2025-06-02,"['02', '11', '16', '23', '28']","['05', '10']",326041766.0
25060,2025-05-31,"['12', '14', '19', '33', '34']","['01', '07']",344759819.0
25059,2025-05-28,"['03', '09', '10', '11', '26']","['01', '02']",330253002.0
25058,2025-05-26,"['06', '11', '15', '21', '23']","['01', '07']",337041717.0
25057,2025-05-24,"['09', '10', '11', '12', '29']","['01', '10']",379533383.0
25056,2025-05-21,"['12', '15', '28', '29', '32']","['08', '11']",354948673.0
25055,2025-05-19,"['08', '10', '25', '29', '30']","['01', '02']",373248241.0
25054,2025-05-17,"['03', '12', '16', '21', '29']","['01', '02']",400498726.0
25053,2025-05-14,"['14', '23', '29', '30', '33']","['06', '12']",378116432.0
25052,2025-05-12,"['02', '04', '11', '29', '30']","['02', '08']",384489687.0
25051,2025-05-10,"['02', '04', '13', '29', '31']","['05', '12']",402596942.0
25050,2025-05-07,"['15', '18', '20', '21', '34']","['04', '10']",380353203.0
25049,2025-05-05,"['09', '20', '22', '29', '34']","['03', '08']",350534405.0
25048,2025-05-03,"['02', '06', '17', '23', '35']","['06', '11']",364105069.0
25047,2025-04-30,"['03', '10', '11', '12', '21']","['02', '03']",367385544.0
25046,2025-04-28,"['04', '10', '15', '20', '34']","['04', '07']",367246953.0
25045,2025-04-26,"['08', '11', '21', '23', '27']","['03', '08']",394950774.0
25044,2025-04-23,"['15', '17', '21', '22', '26']","['02', '08']",368611600.0
25043,2025-04-21,"['03', '16', '20', '21', '27']","['09', '11']",362168053.0
25042,2025-04-19,"['06', '08', '11', '18', '20']","['05', '11']",391234678.0
25041,2025-04-16,"['03', '04', '21', '22', '27']","['05', '11']",372136085.0
25040,2025-04-14,"['02', '08', '16', '31', '32']","['04', '12']",365388846.0
25039,2025-04-12,"['03', '07', '14', '15', '19']","['06', '10']",380283087.0
25038,2025-04-09,"['07', '08', '20', '26', '34']","['08', '09']",367355129.0
25037,2025-04-07,"['05', '20', '23', '27', '31']","['04', '06']",302429281.0
25036,2025-04-05,"['04', '07', '13', '27', '30']","['02', '06']",303323074.0
25035,2025-04-02,"['22', '25', '28', '29', '30']","['04', '08']",290834566.0
25034,2025-03-31,"['04', '15', '22', '28', '33']","['06', '08']",291102580.0
25033,2025-03-29,"['01', '02', '08', '10', '33']","['10', '12']",312033249.0
25032,2025-03-26,"['12', '22', '25', '27', '28']","['01', '02']",303333312.0
25031,2025-03-24,"['14', '18', '20', '25', '35']","['01', '07']",311643171.0
25030,2025-03-22,"['03', '09', '14', '24', '28']","['06', '07']",338162194.0
25029,2025-03-19,"['05', '09', '26', '31', '33']","['03', '10']",314474524.0
25028,2025-03-17,"['06', '08', '20', '25', '29']","['03', '07']",313737340.0
25027,2025-03-15,"['03', '06', '11', '13', '20']","['01', '11']",333487900.0
25026,2025-03-12,"['02', '03', '07', '17', '30']","['01', '09']",313696373.0
25025,2025-03-10,"['03', '06', '08', '10', '25']","['03', '07']",313678335.0
25024,2025-03-08,"['06', '12', '13', '16', '23']","['05', '08']",331854703.0
25023,2025-03-05,"['10', '20', '22', '24', '25']","['09', '12']",302766777.0
25022,2025-03-03,"['01', '11', '13', '27', '29']","['04', '10']",298217183.0
25021,2025-03-01,"['10', '18', '25', '30', '35']","['03', '12']",335200766.0
25020,2025-02-26,"['01', '09', '12', '22', '29']","['05', '09']",300087089.0
25019,2025-02-24,"['07', '08', '11', '18', '23']","['03', '11']",296357549.0
25018,2025-02-22,"['01', '07', '09', '20', '28']","['01', '04']",314802603.0
25017,2025-02-19,"['10', '12', '26', '28', '31']","['03', '10']",288044955.0
25016,2025-02-17,"['05', '07', '12', '20', '29']","['08', '12']",288272949.0
25015,2025-02-15,"['07', '10', '24', '31', '35']","['01', '08']",314676590.0
25014,2025-02-12,"['05', '19', '22', '29', '35']","['02', '10']",289867311.0
25013,2025-02-10,"['14', '16', '18', '20', '35']","['02', '05']",289136668.0
25012,2025-02-08,"['02', '18', '19', '21', '25']","['02', '11']",358739098.0
25011,2025-01-25,"['03', '06', '07', '11', '27']","['02', '08']",373437138.0
25010,2025-01-22,"['05', '21', '28', '30', '32']","['07', '12']",314170042.0
25009,2025-01-20,"['03', '19', '21', '30', '32']","['06', '09']",308814993.0
25008,2025-01-18,"['01', '05', '07', '13', '35']","['05', '12']",336989378.0
25007,2025-01-15,"['15', '22', '23', '25', '31']","['01', '09']",311942681.0
25006,2025-01-13,"['03', '04', '13', '19', '35']","['03', '10']",315397229.0
25005,2025-01-11,"['05', '06', '08', '31', '32']","['09', '11']",313119385.0
25004,2025-01-08,"['02', '05', '09', '13', '33']","['01', '07']",294103605.0
25003,2025-01-06,"['10', '25', '30', '32', '34']","['04', '10']",302634553.0
25002,2025-01-04,"['19', '21', '22', '28', '32']","['06', '09']",328380460.0
25001,2025-01-01,"['05', '08', '16', '17', '27']","['04', '07']",300925149.0
24152,2024-12-30,"['01', '02', '07', '08', '31']","['02', '10']",303398169.0
24151,2024-12-28,"['05', '12', '17', '19', '35']","['10', '11']",315044922.0
24150,2024-12-25,"['04', '11', '23', '25', '34']","['05', '07']",294938543.0
24149,2024-12-23,"['02', '05', '16', '18', '22']","['07', '09']",293475449.0
24148,2024-12-21,"['06', '09', '20', '32', '35']","['08', '11']",319089575.0
24147,2024-12-18,"['12', '18', '21', '22', '31']","['01', '07']",297698975.0
24146,2024-12-16,"['05', '20', '21', '22', '32']","['03', '04']",296215559.0
24145,2024-12-14,"['01', '06', '09', '22', '24']","['01', '03']",320626163.0
24144,2024-12-11,"['06', '07', '08', '21', '30']","['01', '05']",298735511.0
24143,2024-12-09,"['16', '20', '22', '24', '31']","['04', '05']",299228472.0
24142,2024-12-07,"['08', '21', '24', '33', '34']","['03', '10']",327282822.0
24141,2024-12-04,"['02', '06', '07', '16', '20']","['02', '11']",302351348.0
24140,2024-12-02,"['03', '06', '15', '23', '31']","['01', '12']",313586274.0
24139,2024-11-30,"['05', '12', '20', '23', '24']","['05', '07']",346398503.0
24138,2024-11-27,"['05', '17', '20', '28', '34']","['04', '09']",314640260.0
24137,2024-11-25,"['08', '15', '16', '17', '21']","['02', '05']",314223012.0
24136,2024-11-23,"['01', '17', '20', '29', '34']","['07', '08']",339548742.0
24135,2024-11-20,"['06', '08', '22', '24', '30']","['03', '08']",312278951.0
24134,2024-11-18,"['01', '04', '07', '13', '33']","['05', '06']",315446181.0
24133,2024-11-16,"['08', '10', '14', '22', '29']","['04', '06']",340137954.0
24132,2024-11-13,"['05', '06', '10', '16', '31']","['06', '09']",313339293.0
24131,2024-11-11,"['02', '03', '04', '21', '26']","['02', '03']",314078746.0
24130,2024-11-09,"['11', '21', '25', '31', '32']","['04', '10']",324915160.0
24129,2024-11-06,"['07', '19', '30', '31', '34']","['05', '07']",293942499.0
24128,2024-11-04,"['03', '07', '10', '29', '31']","['01', '03']",295772015.0
24127,2024-11-02,"['02', '03', '10', '16', '28']","['07', '10']",320316369.0
24126,2024-10-30,"['02', '10', '17', '28', '34']","['07', '08']",294045224.0
24125,2024-10-28,"['10', '14', '19', '24', '26']","['01', '10']",287673530.0
